Rk,Team,Year,Playoff Wins,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,O_MP,O_FG,O_FGA,O_FG%,O_3P,O_3PA,O_3P%,O_2P,O_2PA,O_2P%,O_FT,O_FTA,O_FT%,O_ORB,O_DRB,O_TRB,O_AST,O_STL,O_BLK,O_TOV,O_PF,O_PTS,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
1,San Antonio Spurs,2003,16,14,16,27,4,11,11,11,19,27,1,10,6,26,21,6,11,22,17,1,23,5,1,14,9,20,3,3,4,7,15,25,3,2,2,24,21,3,7,3,19,18,12,5,3,1,28,3,3,3,12,3,7,3,20,2,7,4,24,13,6,2,12,17,3,,11
2,New Jersey Nets,2003,14,26,17,18,14,23,22,22,12,12,16,5,5,15,14,12,10,7,5,21,16,14,14,26,5,8,2,12,11,20,4,9,2,9,11,6,7,14,9,5,22,19,3,8,2,8,22,4,4,4,29,4,18,1,11,7,22,21,16,14,7,4,3,6,14,,23
3,Dallas Mavericks,2003,10,24,3,2,7,2,2,3,15,19,7,15,26,1,24,9,17,9,11,13,1,9,1,24,15,18,12,28,29,10,9,10,15,12,17,1,23,28,28,17,3,3,5,19,16,1,28,1,1,1,14,1,1,9,7,28,2,3,1,27,20,15,9,19,10,,3
4,Detroit Pistons,2003,8,5,26,28,24,6,6,8,28,28,24,13,12,9,26,18,25,23,28,8,5,10,26,5,3,3,13,1,1,13,11,15,6,8,8,5,1,19,8,2,4,5,24,6,1,5,23,5,5,5,28,5,15,4,29,9,3,14,9,24,9,5,15,1,15,,1
5,Sacramento Kings,2003,7,14,1,1,3,7,9,4,2,7,3,24,24,18,25,1,3,3,2,12,12,4,3,14,19,28,1,6,9,1,25,28,1,10,13,2,28,27,29,13,21,6,10,28,17,3,27,2,2,2,13,2,6,2,1,26,12,2,6,26,29,1,18,21,5,,12
6,Los Angeles Lakers,2003,6,1,4,4,9,8,7,10,9,13,8,12,8,25,5,7,4,5,15,7,12,25,4,1,4,4,9,8,7,10,9,13,8,12,8,25,5,7,4,5,15,7,12,25,4,5,23,10,10,9,9,9,4,19,8,12,8,8,7,9,13,17,21,8,20,,9
7,Philadelphia 76ers,2003,6,10,11,15,10,27,28,28,3,2,10,3,4,8,7,20,16,15,1,28,16,19,9,10,11,5,23,22,21,18,7,5,24,18,18,17,4,7,5,18,12,28,1,7,15,9,20,9,9,10,25,12,11,12,13,5,27,23,14,7,4,26,2,9,22,,4
8,Boston Celtics,2003,4,14,26,21,27,1,1,21,29,29,23,17,16,22,28,14,26,27,4,25,7,11,22,14,6,7,7,24,28,4,5,2,16,19,19,6,10,29,26,19,8,8,6,12,12,13,16,18,18,18,21,19,24,8,17,14,1,19,11,29,14,13,5,10,21,,13
9,Orlando Magic,2003,3,20,13,7,22,5,3,9,25,24,19,8,9,6,18,22,23,21,8,26,10,26,6,20,22,14,25,8,15,5,23,13,29,25,25,22,14,24,22,21,14,15,4,10,24,16,13,16,16,16,24,17,10,20,5,13,5,11,8,22,12,25,6,18,23,,26
10,Portland Trail Blazers,2003,3,10,10,22,5,19,16,24,8,18,2,20,17,20,13,25,22,8,3,24,19,2,15,10,16,12,21,18,23,11,13,7,24,1,1,19,6,2,2,23,20,10,9,26,11,5,23,7,7,7,11,6,8,13,22,15,17,5,21,8,15,21,7,12,1,,6
